student,class,popularity,teachPop,extra,female
17,52,5.4,7,7,1
18,52,3.9,2,5,0
19,52,3.4,4,5,1
20,52,4.5,4,6,0
21,52,6,7,6,1
22,52,3.6,5,6,1
23,52,4.2,4,6,0
1,53,6.8,7,3,1
2,53,7.2,8,5,1
3,53,6.2,6,4,1
4,53,7.5,8,5,1
5,53,7.1,7,4,1
6,53,6.7,6,5,1
7,53,7,8,7,1
8,53,6.5,7,5,1
9,53,8.4,7,6,1
10,53,6.2,6,4,1
11,53,5.3,5,1,1
12,53,5.3,5,4,1
13,53,5.5,6,4,1
14,53,7.4,8,5,1
15,53,6.9,7,5,1
16,53,7.5,7,6,1
17,53,6.8,7,6,1
18,53,5.1,6,5,1
19,53,6.6,7,4,1
1,54,6,6,4,1
2,54,4.7,4,6,0
3,54,5.6,5,5,0
4,54,3.6,3,5,0
5,54,3.4,4,6,0
6,54,4.7,4,4,0
7,54,6.6,6,5,1
8,54,4.6,5,5,0
9,54,4.5,5,7,0
10,54,5.5,4,4,0
11,54,5.3,5,5,1
12,54,5.4,6,6,0
13,54,4.8,5,5,0
14,54,5.6,5,5,1
15,54,6,7,6,1
16,54,6.8,7,6,1
17,54,3.8,4,4,0
18,54,6.7,7,6,1
19,54,5.8,5,4,1
1,55,2.7,3,5,0
2,55,5,4,6,0
3,55,4.4,4,6,0
4,55,2.2,2,5,0
5,55,4.5,5,5,0
6,55,2.4,3,3,0
7,55,2.7,3,6,0
8,55,3.8,5,6,0
9,55,4.5,5,5,0
10,55,4.5,3,7,0
11,55,4.1,4,7,0
12,55,3.4,4,6,0
13,55,2.4,3,5,0
14,55,4.1,4,5,0
15,55,5,5,6,0
16,55,3.8,4,6,0
17,55,3.9,3,4,0
18,55,3.4,3,7,0
19,55,4.4,4,6,0
20,55,2.3,3,5,0
21,55,2,2,4,0
1,56,4.9,5,5,0
2,56,2.4,5,4,0
3,56,4.4,5,6,1
4,56,3.4,4,4,0
5,56,3.9,3,6,0
6,56,4.4,5,5,1
7,56,6.1,6,5,1
8,56,3.9,3,3,0
9,56,6.3,6,6,0
10,56,4.9,4,4,1
11,56,5.9,8,6,1
12,56,6,8,5,1
13,56,6.5,5,5,1
14,56,4,3,5,0
15,56,4,4,4,0
16,56,5.7,5,4,1
17,56,3.6,4,6,0
18,56,3.9,5,5,0
19,56,6,6,5,1
1,57,4.8,3,6,1
2,57,6.7,6,8,1
3,57,2.8,3,6,0
4,57,4.9,5,7,0
5,57,5.4,5,7,1
6,57,3.9,5,6,1
7,57,2.1,2,5,0
8,57,3.1,3,5,1
9,57,3.5,2,5,1
10,57,2.1,3,6,0
11,57,5,4,5,1
12,57,4.8,6,7,1
13,57,2.2,2,4,0
14,57,5.1,7,7,1
15,57,1.2,2,2,0
16,57,4.9,5,7,1
17,57,4.8,5,8,0
18,57,3,3,5,1
1,58,5.7,6,4,0
2,58,6.5,7,6,1
3,58,6.4,5,5,1
4,58,8.1,8,6,1
5,58,5.1,6,6,0
6,58,4.1,4,3,0
7,58,6.3,6,6,1
8,58,5.2,5,3,0
9,58,7,7,4,1
10,58,5.6,6,5,0
11,58,6.5,7,6,1
12,58,4,5,2,0
13,58,7,7,6,1
14,58,4.5,4,4,0
15,58,6.7,7,5,1
16,58,7.5,7,5,1
17,58,7,7,4,1
18,58,7,7,5,1
19,58,5.7,6,5,0
20,58,4.6,4,3,0
1,59,2.9,4,6,0
2,59,4.8,5,5,1
3,59,5.8,6,6,1
4,59,3.1,3,5,0
5,59,4.3,4,5,0
6,59,4.1,3,6,0
7,59,2.8,3,5,0
8,59,5,6,6,1
9,59,5.1,4,5,1
10,59,4.7,6,7,0
11,59,3.4,4,6,0
12,59,1.8,3,4,0
13,59,4.1,4,4,1
14,59,6.1,7,6,1
15,59,4.6,5,6,1
16,59,3.9,4,5,0
17,59,4.8,4,6,0
1,60,2.8,3,5,0
2,60,6.4,7,8,1
3,60,5.6,6,9,0
4,60,5.7,6,7,1
5,60,5.5,5,6,1
6,60,4,3,7,0
7,60,5.3,6,8,1
8,60,3.7,5,5,1
9,60,4.5,3,6,0
10,60,3,3,7,0
11,60,6,5,8,1
12,60,3.6,4,7,0
13,60,5.7,5,6,1
14,60,5.1,6,7,1
16,60,6.1,6,7,1
17,60,5.9,5,7,1
18,60,4.2,5,7,0
19,60,1.6,2,4,0
20,60,2.7,2,5,0
21,60,3.3,6,6,1
22,60,1.4,2,4,0
1,61,6.2,6,3,1
2,61,5.9,5,6,0
3,61,5.6,7,4,1
4,61,4.8,5,3,1
5,61,5.5,5,4,1
6,61,5.5,5,5,0
7,61,4.4,6,4,1
8,61,7.1,7,6,1
9,61,4.3,5,4,0
10,61,6.3,7,4,1
11,61,8.2,7,5,1
12,61,4.4,5,3,0
13,61,7.5,7,6,1
14,61,5.3,7,5,1
15,61,5.9,5,4,0
16,61,6.4,6,5,0
17,61,5.7,5,4,1
18,61,5.1,6,4,0
19,61,5.7,6,5,0
1,62,6.6,7,5,1
2,62,5,5,5,0
3,62,4.9,4,5,0
4,62,5.4,4,6,0
5,62,4.9,4,3,0
6,62,5.8,5,4,1
7,62,8.4,6,5,1
8,62,6.5,6,4,1
9,62,4.8,6,4,1
10,62,6.7,6,6,1
11,62,6,7,4,1
12,62,5.2,5,6,1
13,62,4.7,5,4,0
14,62,5.4,5,6,0
15,62,4.7,5,5,0
16,62,6.9,7,5,1
17,62,5.2,6,4,0
18,62,4.8,6,5,0
19,62,7.5,6,5,1
20,62,4.8,4,5,0
1,63,7.7,7,6,1
2,63,4.8,5,5,0
3,63,5.1,6,3,1
4,63,3.4,4,4,0
5,63,5.5,5,6,0
6,63,4.6,5,5,0
7,63,4.8,5,7,0
8,63,5.3,6,5,1
9,63,4.6,5,5,0
10,63,5.4,6,5,1
11,63,6.1,6,6,0
12,63,5.8,4,5,1
13,63,5.5,5,7,0
14,63,4.6,5,5,0
15,63,6.4,6,6,1
16,63,6.5,7,5,1
17,63,4.2,3,4,0
18,63,4.6,6,4,1
19,63,3.1,4,4,0
20,63,6.8,6,4,1
21,63,7.1,7,7,1
22,63,5.5,5,4,1
23,63,6.9,6,5,1
24,63,4.6,4,4,0
25,63,4,4,4,0
1,64,6.3,6,2,1
2,64,6.9,7,4,1
3,64,5.6,7,4,1
4,64,8.8,8,5,1
5,64,5.7,6,3,1
6,64,8.2,8,3,1
7,64,8.1,8,5,1
8,64,6.6,7,5,1
9,64,6.9,7,6,1
11,64,5.7,6,6,1
12,64,8.8,8,5,1
13,64,7.6,7,2,1
14,64,9.1,8,7,1
15,64,7.7,8,5,1
16,64,6,7,5,1
17,64,7.4,7,5,1
18,64,5.6,6,3,1
19,64,8.9,9,6,1
20,64,6.4,7,6,1
1,65,6,6,5,0
2,65,6.6,7,3,0
3,65,5.3,6,4,0
4,65,6.4,6,5,1
5,65,5.6,7,4,1
6,65,6.8,6,5,1
7,65,5.3,5,5,0
8,65,5.1,6,4,0
9,65,5.3,5,7,0
10,65,6.4,7,5,1
11,65,8.5,7,5,1
12,65,5.7,6,6,0
13,65,5.2,6,4,0
14,65,7.5,8,4,1
15,65,6.7,5,5,0
16,65,7.3,7,5,1
17,65,5.1,6,4,0
18,65,4.7,5,5,0
19,65,5.1,4,3,0
20,65,7.4,7,5,1
21,65,7.9,7,4,1
22,65,7,7,6,1
1,66,7.5,7,7,1
2,66,6.9,8,7,1
3,66,4.5,5,5,0
4,66,4,4,5,0
5,66,6.2,6,5,1
6,66,5.2,4,5,1
7,66,7,6,6,1
8,66,6.3,7,6,1
9,66,5.5,6,5,1
10,66,6.6,7,6,1
11,66,4.6,5,6,0
12,66,5.3,6,5,1
13,66,6.4,7,4,1
14,66,6.5,6,5,1
15,66,7.4,7,7,1
16,66,6.7,6,6,0
17,66,4.9,4,4,0
18,66,5.1,4,4,0
19,66,8.6,8,7,1
20,66,4.5,4,5,0
1,67,5.9,6,6,1
2,67,8.1,7,8,1
3,67,5.9,5,6,1
4,67,6,6,3,1
5,67,8.3,8,7,1
6,67,5.8,5,5,1
7,67,5.5,7,5,1
8,67,5.9,6,4,1
9,67,8.2,9,4,1
10,67,6.9,7,7,1
11,67,6.7,6,5,1
12,67,6.4,6,6,1
13,67,6.4,7,4,1
14,67,5.5,5,5,1
15,67,7.3,6,4,1
16,67,6.7,5,4,1
17,67,5.6,6,1,1
18,67,7.4,7,7,1
19,67,5.3,6,5,1
20,67,6.7,7,5,1
21,67,6.8,7,6,1
1,68,6.5,4,3,0
2,68,6.3,5,6,0
3,68,5.2,6,5,0
4,68,6.8,6,5,0
5,68,4.8,4,4,0
6,68,7.5,7,6,1
7,68,5.8,6,6,0
8,68,5.9,5,6,0
9,68,6.7,7,5,1
10,68,6.3,6,4,1
11,68,4.6,5,4,0
12,68,4.7,5,6,0
13,68,5.5,6,5,1
14,68,5.7,7,3,1
15,68,4.7,5,4,0
16,68,5.2,6,4,0
17,68,4,3,4,0
1,69,5,6,5,0
2,69,5.4,6,5,1
4,69,5.3,4,4,0
5,69,6.6,6,3,1
6,69,5.9,6,6,0
7,69,4.1,5,5,0
8,69,5.6,5,3,0
9,69,5.9,7,5,1
10,69,4.7,5,4,0
11,69,6.2,5,5,1
12,69,4.7,4,3,0
13,69,4.9,4,3,0
14,69,5.3,4,4,0
15,69,6.6,6,5,1
16,69,5.1,6,5,0
17,69,7.5,7,5,1
18,69,7.1,7,5,1
19,69,7.1,7,6,1
1,70,4.9,4,4,1
2,70,4.1,5,4,1
3,70,5,6,6,1
4,70,4.2,4,4,1
5,70,6.5,7,5,1
6,70,7.4,6,4,1
7,70,5,5,5,0
8,70,6.1,6,6,0
9,70,4.4,4,3,0
10,70,5.6,7,4,1
11,70,4.9,4,6,0
12,70,5.3,6,7,0
13,70,3.1,5,5,0
14,70,4.3,5,5,0
15,70,5.8,6,5,1
16,70,3.1,4,4,0
17,70,5.5,7,4,1
18,70,5.8,4,5,1
19,70,4.9,5,7,0
20,70,2.9,3,1,0
21,70,4.1,5,3,0
1,71,3,4,3,0
2,71,5.1,4,5,0
3,71,3.6,4,3,0
4,71,4,5,4,1
5,71,4.9,5,7,0
6,71,3.9,5,4,0
7,71,4.4,5,7,1
8,71,6.9,6,6,1
9,71,2.8,3,4,0
10,71,5.5,5,5,1
11,71,3.7,5,4,0
12,71,5.6,6,6,1
13,71,5.2,7,5,1
14,71,2.6,4,4,0
15,71,5.3,5,5,1
16,71,4,5,4,1
17,71,3.9,4,3,0
18,71,1.7,3,3,0
19,71,5.8,5,3,1
20,71,4.8,5,4,1
21,71,6,5,5,1
22,71,4.9,5,3,1
1,72,5.3,5,5,0
2,72,6.3,6,4,0
3,72,5.9,5,6,0
4,72,5.5,6,5,0
5,72,5.6,6,5,0
6,72,4.4,4,5,0
7,72,7.3,8,6,1
8,72,8.4,8,7,1
9,72,4.9,5,5,0
10,72,4.8,5,5,0
11,72,5.7,6,6,0
12,72,6,5,4,0
13,72,6.1,6,4,1
14,72,6.1,5,4,0
15,72,6.7,6,6,0
16,72,4.5,3,4,0
17,72,6.5,6,5,0
18,72,5.9,5,5,0
19,72,6.9,6,4,1
20,72,4,4,6,0
21,72,5.8,5,5,0
1,73,4.7,5,3,1
2,73,6.2,7,6,1
3,73,6.7,7,5,1
4,73,5.4,5,5,1
5,73,5,6,6,0
6,73,4.2,4,5,0
7,73,5.3,5,6,0
8,73,4.4,4,5,1
9,73,6.2,6,5,1
10,73,3.8,6,4,0
11,73,6.3,7,6,1
12,73,4.5,6,4,1
13,73,5.6,6,5,0
14,73,3.3,3,4,0
15,73,5.2,6,6,0
16,73,4.1,4,3,0
17,73,5.1,5,5,0
18,73,6.3,6,5,1
19,73,6.8,5,6,1
20,73,4,5,4,0
1,74,6.9,5,6,1
2,74,4.8,5,5,0
3,74,5.7,5,5,1
4,74,4.7,5,5,0
5,74,5.1,5,6,0
6,74,5.3,6,5,1
7,74,3.3,5,5,0
8,74,6.6,7,7,0
9,74,4.7,5,5,0
10,74,4.2,4,6,0
11,74,5.9,5,5,0
12,74,4.6,6,6,1
13,74,6.4,6,5,1
14,74,3.8,4,5,0
15,74,4.3,5,3,1
16,74,5.6,6,5,1
17,74,4.4,5,4,0
1,75,5.4,6,4,1
2,75,8.1,8,6,1
3,75,6,6,4,1
4,75,7.5,8,5,1
5,75,5.8,6,6,1
6,75,7.5,6,4,1
7,75,7.5,6,3,1
8,75,6.4,7,6,1
9,75,5.7,6,4,1
10,75,6.5,6,5,1
11,75,6.8,7,3,1
12,75,5.8,6,5,1
13,75,7.1,7,6,1
14,75,6.4,6,6,1
15,75,7.9,7,5,1
16,75,8.1,8,5,1
17,75,6.6,6,5,1
1,76,4,4,6,0
2,76,4.5,5,5,1
3,76,3.5,4,5,0
4,76,5.2,5,5,1
5,76,5.5,6,6,1
6,76,5,4,5,0
7,76,5.1,5,6,0
8,76,3.8,4,3,1
9,76,6,6,5,1
10,76,4,4,5,0
11,76,3.2,4,5,0
12,76,6.1,4,5,1
13,76,4.5,4,5,0
14,76,3.6,4,4,0
15,76,5.2,4,5,0
16,76,4.8,5,5,1
17,76,3.9,5,4,1
18,76,4.4,5,4,0
1,77,6,5,8,0
2,77,5.3,7,7,1
3,77,5.5,5,6,1
4,77,6.1,6,7,1
5,77,6.2,6,7,1
6,77,2.9,3,5,0
7,77,5.6,4,6,1
8,77,4.3,4,5,0
9,77,6.5,6,7,1
10,77,4,4,6,0
11,77,3,3,5,0
12,77,4.5,5,6,0
13,77,3.9,5,7,0
14,77,3.8,4,7,0
15,77,2.5,3,5,0
16,77,3.2,3,6,0
17,77,4.3,5,6,1
18,77,6.7,6,7,1
19,77,4.5,4,7,0
1,78,3.7,4,5,0
2,78,5.4,5,6,1
3,78,5.6,5,4,1
4,78,5.6,5,7,0
5,78,3.8,4,5,0
6,78,6.4,5,5,1
7,78,4.4,6,6,0
8,78,7.1,7,6,1
9,78,4.1,4,5,0
10,78,3.9,5,3,0
11,78,3.9,4,4,0
12,78,5.3,5,6,0
13,78,5.2,6,3,1
14,78,5.4,7,7,1
15,78,5.3,5,6,0
16,78,3.7,3,4,0
17,78,4.9,5,3,1
18,78,6,6,7,1
1,79,6.7,7,6,1
2,79,5,6,6,0
3,79,4,5,6,0
4,79,4.7,5,4,0
5,79,7.4,7,7,1
6,79,4,4,4,0
7,79,3.5,5,5,0
8,79,4.9,6,5,0
9,79,3.2,3,3,0
10,79,6.3,6,5,1
11,79,6.6,6,6,1
12,79,5.5,6,6,1
13,79,5.9,5,5,1
14,79,4.8,5,5,0
15,79,7.4,7,6,1
16,79,4.2,4,4,0
17,79,5.5,6,5,0
18,79,5.9,5,6,0
19,79,4,3,5,0
20,79,4.3,5,6,0
1,80,4.2,4,4,0
2,80,5.2,6,4,1
3,80,2.7,3,4,0
4,80,5.8,6,5,1
5,80,4.7,4,5,0
6,80,2,2,6,0
7,80,4.5,3,4,0
8,80,5.4,5,4,1
9,80,5.4,5,6,1
10,80,3.5,3,5,0
11,80,5.3,5,6,0
12,80,2.8,3,5,0
13,80,5.3,5,5,1
14,80,4.6,6,5,1
15,80,3.8,5,6,0
16,80,3.6,2,5,0
17,80,3.7,3,2,0
18,80,4.6,5,4,1
19,80,3.7,3,6,1
20,80,5.6,5,4,1
1,81,2.4,2,4,0
2,81,4.6,4,6,0
3,81,3.9,3,6,0
4,81,4.8,5,6,1
5,81,6,6,6,1
6,81,3.7,5,5,1
7,81,4.1,4,5,0
8,81,4.5,4,5,1
9,81,4.8,5,6,1
10,81,3.3,4,4,0
11,81,3.9,4,7,0
12,81,5.2,4,5,1
13,81,4.9,3,6,0
14,81,6,5,7,1
15,81,2.7,3,5,0
16,81,2.7,3,4,0
17,81,4.4,4,6,0
18,81,4.6,3,5,1
19,81,5.3,4,6,1
20,81,4.1,4,5,0
21,81,4.5,3,7,0
1,82,1.4,1,4,0
2,82,2.8,2,5,0
3,82,2.5,3,6,0
4,82,4.2,4,9,0
5,82,3.1,2,5,0
6,82,1.1,1,5,0
7,82,4.2,3,7,0
8,82,2.4,2,6,0
9,82,0,1,5,0
10,82,2.5,3,5,0
11,82,1.7,2,5,0
12,82,1.9,2,5,0
13,82,0.9,1,4,0
14,82,1.8,2,6,0
15,82,3.6,5,6,0
16,82,3.7,4,5,0
17,82,4,5,6,0
18,82,4.3,4,6,0
19,82,1.3,1,6,0
20,82,3.2,3,5,0
21,82,3.9,5,7,0
1,83,5.7,6,4,0
2,83,6.3,5,6,0
3,83,6.1,6,5,1
4,83,5.7,5,6,1
5,83,7,6,7,1
6,83,5.4,6,5,0
7,83,7.6,6,7,1
8,83,6.4,7,3,1
9,83,5.9,6,5,1
10,83,4.5,5,5,0
11,83,6,6,4,1
12,83,7.1,7,6,1
13,83,6.2,7,5,1
14,83,6.7,6,4,1
15,83,5,4,4,0
16,83,7.6,8,6,1
17,83,5.3,6,7,0
18,83,5.9,6,5,0
1,84,5.6,6,5,1
2,84,4.9,6,4,0
3,84,7.1,8,5,1
4,84,8.1,7,5,1
5,84,6.2,5,6,0
6,84,6.6,7,6,0
7,84,6.4,7,3,1
8,84,5,5,5,0
9,84,5.6,5,5,0
10,84,7.5,9,5,1
11,84,6.5,7,6,1
12,84,5.6,5,5,0
13,84,5.3,5,4,0
14,84,7.3,6,5,0
15,84,6.6,7,5,1
16,84,6.2,6,5,1
17,84,5.8,6,4,0
18,84,7.6,7,5,1
19,84,7.1,7,4,1
20,84,6.6,6,4,1
21,84,4.3,4,3,0
1,85,6.8,7,7,1
2,85,6,7,3,1
3,85,5.1,6,6,1
4,85,7.8,8,5,1
5,85,7.8,8,6,1
6,85,5.5,6,6,1
7,85,6.8,7,4,1
8,85,5.2,6,5,1
9,85,6.4,7,4,1
10,85,7.7,7,5,1
11,85,6.6,7,7,1
12,85,4.7,5,5,1
13,85,6.5,8,5,1
14,85,7.1,8,6,1
15,85,6.3,6,4,1
16,85,7,7,5,1
17,85,5.4,6,5,1
18,85,6.1,5,5,1
19,85,6.5,6,4,1
20,85,6,5,4,1
21,85,7.4,8,7,1
22,85,6.7,7,4,1
1,86,2.4,2,4,0
2,86,5.6,5,6,1
3,86,4.7,4,7,0
4,86,4.3,4,7,0
5,86,4.1,4,6,1
6,86,4.6,5,6,1
7,86,4.6,5,7,1
8,86,3.2,3,7,0
9,86,2.2,2,7,0
10,86,3,4,6,0
11,86,4.3,3,6,0
12,86,2.9,2,5,0
13,86,5.6,5,7,1
14,86,2.9,2,5,0
15,86,4.3,5,6,1
16,86,5.2,5,7,1
17,86,6.2,6,8,1
18,86,3.5,3,4,1
19,86,3.7,3,6,0
20,86,2.9,4,4,0
21,86,2,2,4,0
22,86,5,5,7,1
1,87,2.9,3,7,0
2,87,6.1,6,7,1
3,87,7,6,8,1
4,87,7.3,9,10,1
5,87,6.2,7,8,1
6,87,6.1,6,8,0
7,87,5.4,5,6,1
8,87,6.9,7,9,1
9,87,4.1,4,8,0
10,87,6.1,6,8,1
11,87,2,3,5,0
12,87,3.5,3,6,0
13,87,7.1,7,9,1
14,87,6.4,6,8,1
15,87,5.9,6,8,1
16,87,5.5,4,7,0
17,87,5.6,6,10,0
18,87,7.7,6,9,1
19,87,4.6,5,8,0
20,87,4.4,5,9,0
21,87,6.4,7,8,1
1,88,5.5,5,6,1
2,88,3.8,4,4,0
3,88,6,6,6,1
4,88,5.9,5,5,1
5,88,5.7,5,5,1
6,88,3.3,5,4,1
7,88,5.1,6,5,1
8,88,2.7,2,4,0
9,88,4.7,5,6,0
10,88,4.4,4,5,0
11,88,6.4,4,6,1
12,88,4.3,4,4,1
13,88,3.3,3,4,0
14,88,3.1,4,7,0
15,88,2.5,3,4,0
16,88,5.3,5,3,1
17,88,6.2,5,5,1
18,88,4.6,5,5,0
19,88,5,5,5,0
20,88,6.1,5,7,1
21,88,4,2,4,0
22,88,3.6,4,4,0
23,88,3.3,5,4,0
1,89,4.5,5,4,1
2,89,5.8,6,7,1
3,89,5.7,5,5,1
4,89,5,4,5,0
5,89,5.5,6,6,1
6,89,6.9,7,5,1
7,89,5.7,6,5,1
8,89,6.2,6,5,1
9,89,4,3,4,0
10,89,3.4,4,5,0
11,89,6.8,6,7,1
12,89,6,5,6,1
13,89,5.4,5,6,0
14,89,2,4,4,0
15,89,3.2,4,5,0
16,89,4.9,4,5,0
17,89,5.2,6,5,1
18,89,4.1,5,6,0
1,90,6.5,7,7,1
2,90,4.2,4,6,0
3,90,5.4,5,7,0
4,90,4.9,5,7,0
5,90,4.1,4,5,1
6,90,5.1,5,7,0
7,90,7.1,6,9,1
8,90,3.8,4,6,0
9,90,5,6,7,1
10,90,6.3,6,7,1
11,90,4.9,4,7,0
12,90,5.9,7,8,1
13,90,6.2,6,8,1
14,90,5.2,6,8,1
15,90,6.2,6,7,1
16,90,7.7,8,9,1
17,90,6.5,7,8,1
18,90,4.9,5,7,1
19,90,5.1,5,8,0
20,90,5,5,6,1
21,90,5.7,6,7,1
22,90,5.3,5,6,0
23,90,5.6,5,8,0
1,91,4.6,6,7,0
2,91,5,5,4,1
3,91,5.7,4,3,1
4,91,4,4,5,0
5,91,4.9,5,5,1
6,91,4,3,4,0
7,91,7.7,6,7,1
8,91,3.8,5,4,0
9,91,6.1,5,5,0
10,91,4,4,5,0
11,91,5.9,6,6,1
12,91,5.1,5,5,1
13,91,3.5,3,4,0
14,91,7.1,7,7,1
15,91,5.2,4,4,1
16,91,4.8,4,5,0
17,91,4.2,5,7,0
18,91,5.4,6,7,1
1,92,4.4,4,4,0
2,92,4.2,4,4,0
3,92,3,3,4,0
4,92,4,4,4,0
5,92,3.8,5,4,1
6,92,4.8,6,6,1
7,92,4,4,4,0
8,92,5,4,5,0
9,92,2.1,3,4,0
10,92,3.4,3,3,0
11,92,5.2,5,5,1
12,92,4.8,4,6,0
13,92,3.8,5,3,0
14,92,5.9,6,4,1
15,92,3.5,3,4,0
16,92,4,4,5,0
17,92,2.8,3,4,0
1,93,5.2,5,5,1
2,93,5.7,5,7,1
3,93,5.1,4,4,1
4,93,4.5,4,5,0
5,93,4.4,4,6,0
6,93,5.9,6,5,1
7,93,6.6,6,7,0
8,93,3,4,5,0
9,93,4,3,5,0
10,93,4.3,4,5,1
11,93,4.2,6,6,0
12,93,5.2,4,6,0
13,93,3.3,4,5,0
14,93,5.6,6,7,1
15,93,6.1,7,6,1
16,93,2.8,4,3,0
17,93,4.4,5,5,1
18,93,3.4,4,5,0
19,93,3.6,4,4,0
20,93,4.4,4,5,0
1,94,4,4,5,0
2,94,5.6,5,5,0
3,94,6,6,4,1
4,94,6.6,6,5,1
5,94,6.3,6,6,0
6,94,5.7,6,6,1
7,94,6.1,6,6,1
8,94,5.3,6,6,1
9,94,5.7,6,5,1
10,94,4.9,5,5,0
11,94,4.1,4,2,0
12,94,4,4,5,0
13,94,6,7,7,1
14,94,3.9,4,3,0
15,94,4.7,4,4,0
16,94,7.2,8,4,1
1,95,4.4,4,5,0
2,95,4.9,5,5,1
3,95,4.1,4,3,0
4,95,5,5,7,0
5,95,4.1,5,5,0
6,95,4.9,5,3,1
7,95,3.1,4,5,0
8,95,4.1,5,4,0
9,95,5.1,5,5,1
10,95,5.3,4,5,0
11,95,4.5,6,6,0
12,95,5.7,7,6,1
13,95,7.5,7,6,1
14,95,5.3,5,4,1
15,95,6.3,5,5,1
16,95,5.8,6,5,1
17,95,5.9,6,5,1
18,95,4.9,4,6,0
19,95,3.9,4,7,0
20,95,5.4,5,5,1
21,95,4.3,4,4,0
1,96,6.1,6,6,1
2,96,6.7,6,5,1
3,96,3.9,5,6,0
4,96,5,5,6,0
5,96,6.4,6,5,0
6,96,7,5,6,1
7,96,4.5,4,6,0
8,96,4.6,5,6,0
9,96,4.4,4,4,0
10,96,4.9,6,4,1
11,96,7.4,7,5,1
12,96,4.9,6,4,1
13,96,7.1,7,8,0
14,96,5.4,4,5,0
15,96,5,5,5,1
16,96,6,7,6,1
17,96,5,6,4,1
18,96,3.2,4,3,0
19,96,4.7,5,5,0
20,96,4,4,4,0
21,96,7.2,7,5,1
1,97,4.2,5,5,0
2,97,4.3,4,7,0
3,97,2.5,3,5,0
4,97,2.1,3,3,0
5,97,2.8,3,4,0
6,97,3.4,4,5,0
7,97,3.4,4,5,0
8,97,2.9,3,4,0
9,97,4.1,4,5,0
10,97,3.6,3,5,0
11,97,2.2,2,4,0
12,97,2.6,3,4,0
13,97,3,2,4,0
14,97,3.6,3,4,0
15,97,1.6,2,3,0
16,97,4.9,5,6,0
17,97,2.6,2,4,0
18,97,6.2,7,7,0
19,97,5.5,5,6,0
20,97,4.3,5,5,0
21,97,3.3,3,5,0
1,98,5.8,5,3,0
2,98,5.9,6,4,1
3,98,4.9,5,4,0
4,98,5.3,5,6,1
5,98,6.7,6,5,1
6,98,6.4,6,7,1
7,98,6.1,6,5,0
8,98,7.1,6,5,1
9,98,4.6,5,5,0
10,98,5.7,5,3,0
11,98,7.2,6,5,1
12,98,8.2,8,6,1
13,98,5.6,6,6,0
14,98,7.3,7,5,1
15,98,6.5,6,6,1
16,98,5.5,5,5,0
17,98,6.7,6,4,1
18,98,6.1,6,4,1
19,98,6.8,6,7,1
20,98,7.2,7,5,1
21,98,6.5,5,6,1
1,99,3.4,5,5,0
2,99,5.1,5,5,0
3,99,3.5,4,3,0
4,99,3.8,4,5,0
5,99,4.5,6,5,1
6,99,4.2,5,4,1
7,99,5.3,3,6,0
8,99,6.2,6,6,1
9,99,5.2,6,5,1
10,99,8,7,5,1
11,99,4.4,4,4,0
12,99,7.4,7,6,1
13,99,4.1,4,4,0
14,99,5,5,5,0
15,99,5.8,5,4,1
16,99,4.4,4,5,0
17,99,2.9,4,3,0
18,99,3.5,4,4,0
19,99,5.4,6,5,1
20,99,5.9,5,5,1
21,99,4.6,5,5,0
22,99,4.8,4,5,0
23,99,4.2,4,5,0
1,100,3.9,4,5,0
2,100,3.7,5,6,0
3,100,6.1,7,7,1
4,100,1.7,2,3,0
5,100,5.9,5,7,1
6,100,6.1,7,7,1
7,100,4.3,5,7,0
8,100,3.9,4,5,0
9,100,1.1,1,5,0
10,100,1.4,2,5,0
11,100,1.9,3,5,0
12,100,4.9,6,6,1
13,100,6.5,6,7,1
14,100,3.7,3,5,1
15,100,5.2,4,5,1
16,100,4.3,5,4,1
17,100,2.6,2,4,0
18,100,6.7,7,8,1
19,100,2.9,3,5,0
20,100,5.3,5,9,0
